Design files available,Data sheet,Open source design or open standard,Description,Supplemental Description (Zeroidea),Vendor,Vendor Part Number,Self-source vendor suggestion,Candidate Supplier in Japan (Zeroidea),Estimate (Zeroidea),thelio-b1,thelio-r1,thelio-major-b1,thelio-major-r1,thelio-massive-b1,Updates&Comment by Zeroidea
---,---,---,---,,---,---,---,,---,---,---,---,---,---,---
SYSTEM76,https://shop.ryerson.com/catalog/details/101116?qry=&did=88152aef-354b-4dd7-a1c4-a9671c8e1043,Y,Aluminum sheet metal,アルミ板金。A5052H32相当。 t1.6-1524x3048 。※データシート有り。,Ryerson,5052SH063X60X120,Xometry,キャディ株式会社・株式会社クリーン精光など,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,
SYSTEM76,,Y,Custom aluminum extrusions (requires dies),（注）アルミの特注押出材（アルミの場合金型>100万円が必要）。筐体のR部。形状変更などの対応がよいか。,Richardson Metals,"E1 V2, E2 V2, E3 V2, E4 V4",3D Print,キャディ株式会社・株式会社クリーン精光など,,325.4mm L,325.4mm L,459.75mm L,459.75mm L,TBD,
SYSTEM76,,Y,Walnut veneer with 3M PSA backing,（注）ウォールナットのベニア板。裏面にアクリル系粘着剤（PSA)。,Lenderink Technologies,,Lenderink Technologies,キャディ株式会社・北伸合板株式会社など,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,
SYSTEM76,,Y,Maple veneer  with 3M PSA backing,（注）メープルのベニア板。裏面にアクリル系粘着剤（PSA)。,Lenderink Technologies,,Lenderink Technologies,キャディ株式会社・北伸合板株式会社など,,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,Sq ft qty from STEP files,
N/A,Y,N,"1/4"" 3M VHB",アクリル系粘着剤の両面テープ。※データシートあり。,"Thomas G. Goldkamp, Inc.",5952,Amazon,Amazon,,325.4mm,325.4mm,459.75mm,459.75mm,TBD,
N/A,Y,N,"1/2"" 3M VHB",組み立て手順によっては不要。System76では特注品。※データシートあり。,"Thomas G. Goldkamp, Inc.",GPH-110,Special order. May not be necessary. Depends on the build process.,必ずしも必要でないため、利用しない,,TBD,TBD,TBD,TBD,TBD,
N/A,Y,N,Prismatic sterling black powder,高級感を出すための粉末材の表面への焼付処理。204℃ 10分。※データシート・YouTube等参照のこと。,"NIC Industries, Inc.",UMB-1204,"NIC Industries, Inc.",,,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD,lbs. TBD,
Y,,Y,M4 x 10MM standoff,スペーサ（スタンドオフ）M4 x 10 。※図面参照のこと。,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,10,10,10,10,10,
?,,Y,M4 x 25MM screw,M4 ✕ 25 （頭の形状未確認）,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,4,4,0,0,0,
Y,,Y,M4 x.7 x 5 mm screw,M4 ✕ 5 (並目ネジ＝ピッチ0.7)。※図面参照のこと。,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,14,14,18,18,20,
Y,,Y,M3 x 10mm thumb screw,M3 ✕ 10 （つまみネジ）。※図面参照のこと。,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,10,10,13,13,13,
Y,,Y,M3 HD screws,（注）M3 段付きボルト 十字穴タイプ（ミスミ型番 DBJS3-5-4 相当※ミスミでは価格が高くなるため、購入先は要選定）。High quility HDD rubber screw for hard disk drive noise reduction ,"Dongguan Jinglong Metal Products Co.,Ltd",,McMaster-Carr,,,16,16,32,32,48,
Y,,?,HD screw gromets,（注）アリババにて上記のセットで購入か：High quility HDD rubber screw for hard disk drive noise reduction ,"Dongguan Yuankang Silicone Products Co.,Ltd",,McMaster-Carr,,,16,16,32,32,48,
Y,,Y,10mm self tapping fan screw,（注）一回り小さくなるが、ミスミ型式 CSPCSSJ-STU-TP4-10 で代用（？）。図面参照のこと,"Dongguan Jinglong Metal Products Co.,Ltd",,Amazon,,,4,4,12,12,16,
Y,,?,15mm rubber case feet with m4 thread insert,（注）ラバークッション。ゴム＋鉄（青色亜鉛三価クロム化成処理？）の加工・組立品。ゴムの硬さ：60±5 Shore A 。図面参照のこと。,"Dongguan Hanxiang Rubber Products Co., Ltd. ",,McMaster-Carr,,,4,4,0,0,0,
Y,,?,20mm rubber case feet with m4 thread insert,同上,"Dongguan Hanxiang Rubber Products Co., Ltd. ",,McMaster-Carr,,,0,0,4,4,4,
